都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
401307,1,福岡県,福岡市,博多座,ハカタザ,,,福岡市博多区下川端町2-1,,33.595829,130.406507,(092)263-5858,,,,,,,,,,,
401307,2,福岡県,福岡市,福岡国際会議場,フクオカコクサイカイギジョウ,,,福岡市博多区石城町2-1,,33.604263,130.403391,(092)262-4111,,,,,,,,,,,
401307,3,福岡県,福岡市,福岡国際センター,フクオカコクサイセンター,,,福岡市博多区築港本町2-2,,33.603093,130.40116,(092)272-1111,,,,,,,,,,,
401307,4,福岡県,福岡市,福岡サンパレス,フクオカサンパレス,,,福岡市博多区築港本町2-1,,33.603772,130.402189,(092)272-1123,,,,,,,,,,,
401307,5,福岡県,福岡市,マリンメッセ福岡A館,マリンメッセフクオカエーカン,,,福岡市博多区沖浜町7-1,,33.607194,130.402265,(092)262-3111,,,,,,,,,,,
401307,6,福岡県,福岡市,福岡市民会館,フクオカシミンカイカン,,,福岡市中央区天神5-1-23,,33.598339,130.398896,(092)761-6567,,,,,,,,,,,
401307,7,福岡県,福岡市,健康づくりサポートセンター,ケンコウヅクリサポートセンター,,,福岡市中央区舞鶴二丁目5-1,あいれふ4Ｆ,33.591886,130.390474,(092)751-7778,,,,,,,,,,,
401307,8,福岡県,福岡市,福岡市科学館,フクオカシカガクカン,,,福岡市中央区六本松4-2-1,,33.57688103,130.3780667,(092)731-2525,,,,,,,,,,,
401307,9,福岡県,福岡市,福岡市市民福祉プラザ,フクオカシシミンフクシプラザ,ふくふくプラザ,,福岡市中央区荒戸3-3-39,,33.592665,130.373376,(092)731-2932,,,,,,,,,,,
401307,10,福岡県,福岡市,福岡市男女共同参画推進センター・アミカス,フクオカシダンジョキョウドウサンカクスイシンセンター・アミカス,,,福岡市南区高宮3-3-1,,33.567529,130.413605,(092)526-3755,,,,,,,,,,,
401307,11,福岡県,福岡市,東市民センター,ヒガシシミンセンター,,,福岡市東区千早4-21-45,,33.65019055,130.4392403,(092)674-3981,,,,,,,,,,,
401307,12,福岡県,福岡市,博多市民センター,ハカタシミンセンター,,,福岡市博多区山王1-13-10,,33.582278,130.433689,(092)472-5991,,,,,,,,,,,
401307,13,福岡県,福岡市,中央市民センター,チュウオウシミンセンター,,,福岡市中央区赤坂2-5-8,,33.586131,130.388639,(092)714-5521,,,,,,,,,,,
401307,14,福岡県,福岡市,南市民センター,ミナミシミンセンター,,,福岡市南区塩原2-8-2,,33.56533,130.423164,(092)561-2981,,,,,,,,,,,
401307,15,福岡県,福岡市,城南市民センター,ジョウナンシミンセンター,,,福岡市城南区片江5-3-25,,33.551311,130.367879,(092)862-2141,,,,,,,,,,,
401307,16,福岡県,福岡市,早良市民センター,サワラシミンセンター,,,福岡市早良区百道2-2-1,,33.581599,130.347472,(092)831-2321,,,,,,,,,,,
401307,17,福岡県,福岡市,西市民センター,ニシシミンセンター,,,福岡市西区内浜1-4-39,,33.582922,130.322249,(092)891-7021,,,,,,,,,,,
401307,18,福岡県,福岡市,和白地域交流センター,ワジロチイキコウリュウセンター,コミセンわじろ,,福岡市東区和白丘1-22-27,,33.6984,130.440162,(092)608-8480,,,,,,,,,,,
401307,19,福岡県,福岡市,博多南地域交流センター,ハカタミナミチイキコウリュウセンター,さざんぴあ博多,,
