営業者氏名,郵便番号,営業所所在地,営業所所在地ビル名,営業所電話番号,屋号,業種,業態,指令番号県記号,指令番号発令記号,指令番号（許可番号）,許可終了日,許可・交付日,初年度許可・交付日
,810-0801,福岡市博多区中洲四丁目１番２６号,中洲人形町ビル　地下１階,092-282-0600,Ｂａｒ　Ａｂｈａｉｎｎ　Ｂｈｅａｇ,飲食店営業,一般食堂,福,博保衛,31010734,2026/3/31,2020/1/6,2020/1/6
株式会社　Ｌｅａｄ,810-0801,福岡市博多区中洲二丁目５番１８号,第２０ラインビル　２階　第１区画,,Ｒｏｉ,飲食店営業,カフェー,福,博保衛,31010658,2026/3/31,2020/1/7,2020/1/7
株式会社　Ｌｅａｄ,810-0801,福岡市博多区中洲二丁目５番１８号,第２０ラインビル　２階　第３区画,,クラブ　ロペ,飲食店営業,カフェー,福,博保衛,31010657,2026/3/31,2020/1/7,2020/1/7
アルティジャーノ　株式会社,810-0801,福岡市博多区中洲四丁目１番１６号,セブンビル１　地下１階　１０１号室,092-272-1289,ｃｈａｒｕｔｏ,飲食店営業,バー,福,博保衛,31010694,2026/3/31,2020/1/7,2020/1/7
株式会社　グラノ２４Ｋ,812-0039,福岡市博多区冷泉町２番７号,ダイワロイネットホテル博多冷泉　１Ｆ,092-402-0771,ワインスタイルぶどうの樹　博多冷泉店,飲食店営業,一般食堂,福,博保衛,31010736,2026/3/31,2020/1/10,2020/1/10
株式会社　ラウンジリオ博多,812-0013,福岡市博多区博多駅東二丁目２番１８号,スライビィング８４　１F,092-471-4714,ラウンジリオ博多店,飲食店営業,カフェー,福,博保衛,31010558,2026/3/31,2020/1/14,2020/1/14
株式会社　素屋,812-0025,福岡市博多区店屋町７番１号,フジメンビル　１ＦーＡ号室,092-710-7820,素や,飲食店営業,そば屋,福,博保衛,31010709,2026/3/31,2020/1/14,2020/1/14
,812-0892,福岡市博多区東那珂三丁目７番４９号,クニーヅ東那珂　１階　Ｂ,092-260-8926,博多餃子工房たね屋,飲食店営業,一般食堂,福,博保衛,31010706,2026/3/31,2020/1/14,2020/1/14
株式会社　ティーケーピー,812-0007,福岡市博多区東比恵二丁目１６番１３号,アパホテル博多東比恵　１Ｆ,092-433-6675,ティーケーピーカフェテリア,飲食店営業,一般食堂,福,博保衛,31010688,2026/3/31,2020/1/15,2020/1/15
株式会社　センダン,812-0013,福岡市博多区博多駅東一丁目１３番３号,ホテルフォルツァ博多駅筑紫口Ⅱ　１Ｆ,,ホテル　フォルツァ博多駅筑紫口Ⅱ,飲食店営業,一般食堂,福,博保衛,31010742,2026/3/31,2020/1/15,2020/1/15
