"全国地方公共団体コード","地方公共団体名","調査年月日","区分","自然動態_増減","自然動態_出生","自然動態_死亡","社会動態_増減","社会動態_市外からの転入","社会動態_他区からの転入","社会動態_市外からの転出","社会動態_他区からの転出","その他の増減"
"401307","福岡県福岡市","2026-04-30","福岡市_総数","-230","962","1192","6191","15828","3776","9637","3776","-164"
"401307","福岡県福岡市","2026-04-30","日本人_総数","-246","938","1184","2781","11048","3090","8267","3090","42"
"401307","福岡県福岡市","2026-04-30","日本人_東区","-5","235","240","513","2092","420","1580","419","9"
"401307","福岡県福岡市","2026-04-30","日本人_博多区","-47","133","180","693","2560","552","1800","619","9"
"401307","福岡県福岡市","2026-04-30","日本人_中央区","22","127","105","362","1760","536","1384","550","6"
"401307","福岡県福岡市","2026-04-30","日本人_南区","-66","149","215","213","1347","422","1092","464","5"
"401307","福岡県福岡市","2026-04-30","日本人_城南区","-18","87","105","419","895","323","531","268","4"
"401307","福岡県福岡市","2026-04-30","日本人_早良区","-70","113","183","142","1061","437","918","438","5"
"401307","福岡県福岡市","2026-04-30","日本人_うち入部出張所","-24","13","37","-13","26","33","42","30","0"
"401307","福岡県福岡市","2026-04-30","日本人_西区","-62","94","156","439","1333","400","962","332","4"
"401307","福岡県福岡市","2026-04-30","日本人_うち西部出張所","-20","29","49","400","755","111","342","124","-20"
"401307","福岡県福岡市","2026-04-30","外国人_総数","16","24","8","3410","4780","686","1370","686","-206"
"401307","福岡県福岡市","2026-04-30","外国人_東区","2","5","3","1157","1413","135","262","129","-52"
"401307","福岡県福岡市","2026-04-30","外国人_博多区","4","7","3","983","1461","180","433","225","-53"
"401307","福岡県福岡市","2026-04-30","外国人_中央区","5","6","1","207","395","96","179","105","-29"
"401307","福岡県福岡市","2026-04-30","外国人_南区","2","2","0","552","800","145","263","130","-36"
"401307","福岡県福岡市","2026-04-30","外国人_城南区","-1","0","1","136","152","50","32","34","-4"
"401307","福岡県福岡市","2026-04-30","外国人_早良区","1","1","0","177","265","47","96","39","-9"
"401307","福岡県福岡市","2026-04-30","外国人_うち入部出張所","0","0","0","14","25","0","11","0","0"
"401307","福岡県福岡市","2026-04-30","外国人_西区","3","3","0","198","294","33","105","24","-23"
"401307","福岡県福岡市","2026-04-30","外国人_うち西部出張所","1","1","0","145","218","11","75","9","-24"
