都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
401307,1,福岡県,福岡市,福岡市民体育館,フクオカシミンタイイクカン,,,福岡市博多区東公園8-2,,33.603548,130.416512,(092)641-9135,,,,,,,,バレーボール，柔剣道，水泳他,,,
401307,2,福岡県,福岡市,東体育館,ヒガシタイイクカン,,,福岡市東区香住ヶ丘1-12-1,,33.666541,130.436903,(092)672-0301,,,,,,,,バレーボール他,,,
401307,3,福岡県,福岡市,博多体育館,ハカタタイイクカン,,,福岡市博多区山王1-9-5,,33.58285,130.433443,(092)481-0301,,,,,,,,バレーボール他,,,
401307,4,福岡県,福岡市,中央体育館,チュウオウタイイクカン,,,福岡市中央区赤坂2-5-5,,33.586247,130.3891,(092)741-0301,,,,,,,,バレーボール他,,,
401307,5,福岡県,福岡市,南体育館,ミナミタイイクカン,,,福岡市南区塩原2-8-1,,33.565414,130.423819,(092)552-0301,,,,,,,,バレーボール他,,,
401307,6,福岡県,福岡市,城南体育館,ジョウナンタイイクカン,,,福岡市城南区別府6-14-22,,33.567091,130.365014,(092)851-0303,,,,,,,,バレーボール他,,,
401307,7,福岡県,福岡市,早良体育館,サワラタイイクカン,,,福岡市早良区四箇6-17-6,,33.531826,130.329319,(092)812-0301,,,,,,,,バレーボール他,,,
401307,8,福岡県,福岡市,西体育館,ニシタイイクカン,,,福岡市西区拾六町1-13-35,,33.565974,130.317432,(092)882-5144,,,,,,,,バレーボール他,,,
401307,9,福岡県,福岡市,ももち体育館,モモチタイイクカン,,,福岡市早良区百道2-3-15,,33.582182,130.347652,(092)851-4550,,,,,,,,バレーボール他,,,
401307,10,福岡県,福岡市,総合西市民プール,ソウゴウニシシミンプール,,,福岡市西区西の丘1-4-1,,33.561405,130.302047,(092)885-0124,,,,,,,,水泳,,,
401307,11,福岡県,福岡市,東市民プール,ヒガシシミンプール,,,福岡市東区名島2-42-1,,33.644242,130.427075,(092)662-6111,,,,,,,,水泳,,,
401307,12,福岡県,福岡市,博多市民プール,ハカタシミンプール,,,福岡市博多区東那珂1-9-15,,33.577639,130.439719,(092)473-8855,,,,,,,,水泳,,,
401307,13,福岡県,福岡市,中央市民プール,チュウオウシミンプール,,,福岡市中央区西公園14-30,,33.599348,130.372224,(092)712-8090,,,,,,,,水泳,,,
401307,14,福岡県,福岡市,南市民プール,ミナミシミンプール,,,福岡市南区三宅3-31-1,,33.547064,130.429484,(092)561-6011,,,,,,,,水泳,,,
401307,15,福岡県,福岡市,城南市民プール,ジョウナンシミンプール,,,福岡市城南区片江1-5-1,,33.550739,130.379273,(092)863-7098,,,,,,,,水泳,,,
401307,16,福岡県,福岡市,早良市民プール,サワラシミンプール,,,福岡市早良区曙1-3-15,,33.576468,130.362514,(092)841-1080,,,,,,,,水泳,,,
401307,17,福岡県,福岡市,今宿野外活動センター,イマジュクヤガイカツドウセンター,,,福岡市西区今宿上の原217-2,,33.551517,130.280557,(092)806-3114,,,,,,,,テント，ロッジ,,,
401307,18,福岡県,福岡市,障がい者スポーツセンター,ショウガイシャスポーツセンター,さん・さんプラザ,,福岡市南区清水1-17-15,,33.570506,130.419323,(092)511-1132,,,,,,,,バレーボール，水泳他,,,
401307,19,福岡県,福岡市,早良障がい者フレンドホーム,サワラショウガイシャフレンドホーム,,,福岡市早良区百道浜1-4-1,,33.591392,130.355996,(092)847-2761,,,,,,,,バレーボール他,,,
401307,20,福岡県,福岡市,四箇田園スポーツ広場,シカデンエンスポーツヒロバ,,,福岡県福岡市早良区四箇4-11,,33.52667125,130.328071,,,,,,,,,ソフトボール,,,(092)812-0301（早良体育館）
401307,21,福岡県,福岡市,田尻田園スポーツ広場,タジリデンエンスポーツヒロバ,,,福岡市西区田尻663,,33.58698125,130.24935,,,,,,,,,軟式野球，ソフトボール,,,(092)882-5144（西体育館）
401307,22,福岡県,福岡市,飯氏田園スポーツ広場,イイジデンエンスポーツヒロバ,,,福岡市西区大字飯氏846-1,,33.56756527,130.2443219,,,,,,,,,ソフトボール,,,(092)882-5144（西体育館）
401307,23,福岡県,福岡市,汐井公園,シオイコウエン,,,福岡市東区箱崎ふ頭2-1,,33.623732,130.416105,,,,,,,,,野球，テニス，ソフトボール,,,(092)672-0301（東体育館）
401307,24,福岡県,福岡市,箱崎公園,ハコザキコウエン,,,福岡市東区原田4-33,,33.621619,130.439754,,,,,,,,,軟式野球，ソフトボール,,,(092)672-0301（東体育館）
401307,25,福岡県,福岡市,社領南公園,シャリョウミナミコウエン,,,福岡市東区社領3-1,,33.609325,130.433046,,,,,,,,,軟式野球，ソフトボール,,,(092)672-0301（東体育館）
401307,26,福岡県,福岡市,香椎浜公園,カシイハマコウエン,,,福岡市東区香椎浜,,33.65132541,130.420238,,,,,,,,,野球，ソフトボール,,,(092)672-0301（東体育館）
401307,27,福岡県,福岡市,榎田中央公園,エノキダチュウオウコウエン,,,福岡市博多区大字堅粕23-31,,33.600381,130.437938,,,,,,,,,軟式野球，ソフトボール,,,(092)481-0301（博多体育館）
401307,28,福岡県,福岡市,大井中央公園,オオイチュウオウコウエン,,,福岡市博多区大井2-1,,33.603106,130.441749,,,,,,,,,軟式野球，ソフトボール，テニス,,,(092)481-0301（博多体育館）
401307,29,福岡県,福岡市,上月隈中央公園,カミツキグマチュウオウコウエン,,,福岡市博多区月隈5-６,,33.567359,130.463312,,,,,,,,,軟式野球，ソフトボール,,,(092)481-0301（博多体育館）
401307,30,福岡県,福岡市,山王公園,サンノウコウエン,,,福岡市博多区山王1-９,,33.583056,130.432316,,,,,,,,,軟式野球，ソフトボール,,,(092)481-0301（博多体育館）
401307,31,福岡県,福岡市,平和中央公園,ヘイワチュウオウコウエン,,,福岡市中央区平和5-12,,33.564534,130.392703,,,,,,,,,ソフトボール,,,(092)741-0301（中央体育館）
401307,32,福岡県,福岡市,柏原中央公園,カシワラチュウオウコウエン,,,福岡市南区柏原4-36,,33.525471,130.393346,,,,,,,,,軟式野球，ソフトボール,,,(092)552-0301（南体育館）
401307,33,福岡県,福岡市,長住中央公園,ナガズミチュウオウコウエン,,,福岡市南区長住5-10,,33.546036,130.397675,,,,,,,,,ソフトボール,,,(092)552-0301（南体育館）
401307,34,福岡県,福岡市,東油山公園,ヒガシアブラヤマコウエン,,,福岡市城南区東油山6-9,,33.53183,130.382738,,,,,,,,,軟式野球，ソフトボール,,,(092)851-0303（城南体育館）
401307,35,福岡県,福岡市,百道中央公園,モモチチュウオウコウエン,,,福岡市早良区百道浜3-2,,33.588454,130.350887,,,,,,,,,軟式野球，サッカー他,,,(092)812-0301（早良体育館）
401307,36,福岡県,福岡市,愛宕浜中央公園,アタゴハマチュウオウコウエン,,,福岡市西区愛宕浜3-2,,33.596104,130.33345,,,,,,,,,ソフトボール，サッカー他,,,(092)882-5144（西体育館）
401307,37,福岡県,福岡市,雁の巣レクリエーションセンター,ガンノスレクリエーションセンター,,,福岡市東区大字奈多1302-53,,33.677783,130.398896,(092)606-3458,,,,,,,,野球，ソフトボール，テニス，サッカー他,,,
401307,38,福岡県,福岡市,舞鶴公園,マイヅルコウエン,,,福岡市中央区城内1,,33.585308,130.383146,(092)781-2153,,,,,,,,陸上，軟式野球，テニス，サッカー，ソフトボール他,,,
401307,39,福岡県,福岡市,東平尾公園,ヒガシヒラオコウエン,,,福岡市博多区東平尾公園,,33.586703,130.463204,(092)611-1515,,,,,,,,陸上，軟式野球，ソフトボール，テニス，弓道,,,
401307,40,福岡県,福岡市,今津運動公園,イマヅウンドウコウエン,,,福岡市西区今津字津本,,33.605932,130.248365,(092)807-6625,,,,,,,,野球，ソフトボール，テニス，サッカー他,,,
401307,41,福岡県,福岡市,西部運動公園,セイブウンドウコウエン,,,福岡市西区飯盛385,,33.54501,130.319301,(092)811-5625,,,,,,,,野球，テニス，サッカー，ラグビー他,,,
401307,42,福岡県,福岡市,桧原運動公園,ヒバルウンドウコウエン,,,福岡市南区桧原5-30-1,,33.53272,130.390549,(092)566-8208,,,,,,,,野球，ソフトボール，テニス，サッカー他,,,
401307,43,福岡県,福岡市,青葉公園,アオバコウエン,,,福岡市東区青葉4,,33.64784743,130.4605351,(092)691-5725,,,,,,,,テニス,,,
401307,44,福岡県,福岡市,小戸公園,オドコウエン,,,福岡県福岡市西区小戸2-6-1,,33.58936563,130.3121161,(092)883-3510,,,,,,,,ソフトボール，サッカー他,,,
401307,45,福岡県,福岡市,西南杜の湖畔公園,セイナンモリノコハンコウエン,,,福岡市城南区七隈6,,33.551513,130.356704,(092)863-7929,,,,,,,,軟式野球，サッカー，テニス他,,,
401307,46,福岡県,福岡市,月隈パークゴルフ場,ツキグマパークゴルフジョウ,,,福岡市博多区月隈3-18-21,,33.572133,130.464723,(092)504-5333,,,,,,,,パークゴルフ,,,
401307,47,福岡県,福岡市,博多南地域交流センター,ハカタミナミチイキコウリュウセンター,さざんぴあ博多,,福岡市博多区南本町2-3-1,,33.546724,130.461273,(092)502-8570,,,,,,,,バレーボール他,,,
401307,48,福岡県,福岡市,和白地域交流センター,ワジロチイキコウリュウセンター,コミセンわじろ,,福岡市東区和白丘1-22-27,,33.6984,130.440162,(092)608-8480,,,,,,,,バレーボール他,,,
401307,49,福岡県,福岡市,西部地域交流センター　,セイブチイキコウリュウセンター,さいとぴあ,,福岡市西区西都2-1-1,,33.577058,130.260311,(092)807-8900,,,,,,,,バレーボール他,,,
401307,50,福岡県,福岡市,社領スポーツ広場,シャリョウスポーツヒロバ,,,福岡市東区社領2-17-20,,33.61125889,130.433853,,,,,,,,,サッカー他,,,(092)672-0301（東体育館）
401307,51,福岡県,福岡市,水産加工センター運動広場,スイサンカコウセンターウンドウヒロバ,,,福岡市東区東浜2-63,,33.61484605,130.4083016,,,,,,,,,軟式野球，ソフトボール,,,(092)672-0301（東体育館）
401307,52,福岡県,福岡市,福岡市総合体育館,フクオカシソウゴウタイイクカン,照葉積水ハウスアリーナ,,福岡市東区香椎照葉6-1-1,,33.66717291,130.4174608,(092)410-0314,,,,,,,,バレーボール，柔剣道他,,,
