都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
401307,1,福岡県,福岡市,総合図書館,ソウゴウトショカン,,,福岡市早良区百道浜3-7-1,,33.589902,130.350949,(092)852-0600,,,,,,,,,,,
401307,2,福岡県,福岡市,東図書館,ヒガシトショカン,,,福岡市東区千早4-21-45,なみきスクエア１階,33.65027775,130.4392026,(092)674-3982,,,,,,,,,,,
401307,3,福岡県,福岡市,和白図書館,ワジロトショカン,,,福岡市東区和白丘1-22-27,和白地域交流センター4階,33.698513,130.4402,(092)608-8490,,,,,,,,,,,
401307,4,福岡県,福岡市,博多図書館,ハカタトショカン,,,福岡市博多区山王1-13-10,博多市民センター3階,33.582353,130.433713,(092)472-5996,,,,,,,,,,,
401307,5,福岡県,福岡市,博多南図書館,ハカタミナミトショカン,,,福岡市博多区南本町2-3-1,博多南地域交流センター2階,33.546724,130.461273,(092)502-8580,,,,,,,,,,,
401307,6,福岡県,福岡市,中央図書館,チュウオウトショカン,,,福岡市中央区赤坂2-5-8,中央市民センター1階,33.586108,130.388601,(092)751-9534,,,,,,,,,,,
401307,7,福岡県,福岡市,南図書館,ミナミトショカン,,,福岡市南区塩原2-8-2,南市民センター1階,33.565249,130.423212,(092)561-3048,,,,,,,,,,,
401307,8,福岡県,福岡市,城南図書館,ジョウナントショカン,,,福岡市城南区片江5-3-25,城南市民センター1階,33.551378,130.367769,(092)864-4823,,,,,,,,,,,
401307,9,福岡県,福岡市,早良図書館,サワラトショカン,,,福岡市早良区百道2-2-1,早良市民センター2階,33.581655,130.347447,(092)845-8835,,,,,,,,,,,
401307,10,福岡県,福岡市,西図書館,ニシトショカン,,,福岡市西区内浜1-4-39,西市民センター1階,33.582952,130.321907,(092)884-3874,,,,,,,,,,,
401307,11,福岡県,福岡市,西部図書館,セイブトショカン,,,福岡市西区西都2-1-1,西部地域交流センター2階,33.57734,130.260424,(092)807-8802,,,,,,,,,,,
401307,12,福岡県,福岡市,点字図書館,テンジトショカン,,,福岡市早良区百道浜3-7-1,総合図書館内,33.59009769,130.3511948,(092)852-0555,,,,,,,,,,,
