番号,ID,名前,生息地,ティア,SSR,青春力,癒し力,行動力,知性力,ワクワク力,寄り道力,属性,分類,キャラ補正対象,キャラ補正値,文化補正値,最低保証,上限キャップ,主な補正根拠
1,tenjin,テンジニアン,天神,1,—,53,36,93,30,90,90,賑わい,商業型回遊種,なし,—,—,—,—,データのみで三冠達成。補正ゼロ
2,hakata,ハカタリウス,博多,1,—,74,55,88,55,79,72,活気,都市型群生種,行動力,+30,+10,行動力≥88,—,新幹線・JR・地下鉄の交差点特例
3,nishijin,ニシジーノ,西新,1,—,68,30,54,30,31,40,生活,住宅型共生種,青春力,+12,+8,青春力≥68,—,西新商店街の若年文化
4,ropponmatsu,ロッポマイン,六本松,1,—,35,35,30,78,32,62,思索,学術型探索種,知性力+寄り道力,知+30 寄+18,知+10 寄+8,知≥78 寄≥62,—,九大移転後の学術気配・市立中央図書館／独立系書店・カフェ
5,ohashi,オオハシアン,大橋,1,—,47,55,48,30,30,39,安定,住宅型定住種,なし,—,—,—,—,公園・施設データが実態を適切に反映
6,kashii,カシリオン,香椎,1,—,90,65,39,62,40,50,活力,住宅型群生種,青春力,+5,—,—,癒し≤82 知≤72,出生数・若年ファミリーの多さ（キャップは実値未到達）
7,meinohama,メイハーヴ,姪浜,1,—,37,80,45,60,33,44,静穏,水辺型定住種,癒し力,+15,+8,癒し≥70,—,海沿い自然環境・穏やかさ（最低保証超え80達成）
8,yakuin,ヤクイーヌ,薬院,1,—,53,30,30,30,47,72,洗練,商業型共生種,寄り道力,+25,+10,寄り道≥72,—,深夜路地・カフェ文化（飲食許可データに出にくい）
9,hirao,ヒラオーン,平尾,1,—,48,36,39,30,30,55,日常,住宅型定住種,寄り道+癒し,寄+22 癒+8,—,寄り道≥55,—,隠れ家カフェ文化・住宅街の穏やかさ（データ不足補完）
10,momochi,モモチア,百道,1,—,33,31,39,54,68,30,解放,水辺型回遊種,ワクワク力,+15,+10,ワクワク≥68,知≤62,タワー・ドーム・海浜公園のイベント集積
11,fukuoka-tower,タワリウス,福岡タワー,2,—,33,52,55,49,72,35,展望,複合型群生種,—,—,—,—,—,年間入場約100万人・周辺複合施設との相乗
12,paypay-dome,ドーミオン,PayPayドーム,2,—,68,36,45,30,75,30,熱狂,複合型群生種,—,—,—,—,—,年間来場約200万人・若年層比率が高い
13,hakata-station,エキタリア,博多駅,2,—,84,55,98,65,45,46,接続,都市型回遊種,—,—,—,—,—,全路線結節点・行動力が全24件最高値
14,canal-city,キャナルーン,キャナルシティ,2,—,59,55,31,58,80,65,回遊,複合型共生種,—,—,—,—,—,年間来館約1600万人・施設内60店舗超
15,ohori-park,オオホリン,大濠公園,2,—,53,92,50,30,30,47,静息,水辺型定住種,—,—,—,—,—,約39ha・年間利用200万人超・市美術館相乗
16,maizuru-park,マイヅルクス,舞鶴公園,2,—,53,79,50,60,31,32,記憶,文化型定住種,—,—,—,—,—,約40ha・福岡城跡・桜の名所
17,marine-world,マリノヴァ,マリンワールド,2,—,95,98,30,80,65,43,驚嘆,水辺型群生種,—,—,—,—,—,年間入場約90万人・癒し力&青春力ともに最上位
18,aburayama,アブラザウル,油山,2,—,30,90,42,30,30,30,原生,自然型単独種,—,—,—,—,—,山系緑地約1000ha・補正ゼロで癒し90達成・周辺データ極薄
19,kushida-shrine,クシダミコト,櫛田神社,2,★,84,55,31,98,60,36,祭礼,聖域型守護種,—,—,—,—,—,博多祇園山笠総本社・1000年超・全24件知性力最高値
20,tochoji,トウチョウガ,東長寺,2,★,45,82,31,72,30,35,沈思,聖域型静観種,—,—,—,—,—,日本最大級木造坐像・市内唯一の五重塔
21,hakozaki-shrine,ハコザキオン,筥崎宮,2,★,98,90,33,75,30,43,勝運,聖域型守護種,—,—,—,—,—,日本三大八幡・放生会100万人・全24件青春力最高値
22,sumiyoshi-shrine,スミヨシヌス,住吉神社,2,★,82,55,33,98,33,60,縁結,聖域型守護種,—,—,—,—,—,全国住吉発祥地・2000年超・全24件知性力最高値タイ
23,kego-shrine,ケゴリオン,警固神社,2,★,63,36,91,30,75,60,都心守護,聖域型巡回種,—,—,—,—,—,天神繁華街中心・24時間参拝可
24,atago-shrine,アタゴラス,愛宕神社,2,★,37,98,49,90,30,35,高覧,聖域型高見種,—,—,—,—,—,標高68m・市街地と玄界灘を一望・愛宕方式特例設定
